"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5363122",NA,1,1,1,1,1,1,0,0
"em_5363110",NA,1,1,1,1,1,1,0,0
"em_5363115",NA,1,1,1,1,1,1,0,0
"em_5363121",NA,1,1,1,1,1,1,0,0
"em_4997579",NA,1,1,0,215,72,0,0,3
"em_4959119",NA,1,1,0,163,78,0,0,5
"em_5022262",NA,1,1,0,163,77,0,0,2
"em_4951000",NA,1,1,0,140,60,0,0,3
"em_4864840",NA,1,1,0,129,51,0,0,2
"em_4899215",NA,1,1,0,103,45,0,0,0
"em_4964229",NA,1,1,0,87,39,0,0,0
"em_5174848",NA,1,1,0,79,27,0,0,0
"em_4859130",NA,1,1,0,68,20,0,0,1
"em_4947750",NA,1,1,0,65,31,0,0,1
"em_4903459",NA,1,1,0,60,17,0,0,0
"em_5310076",NA,1,1,0,56,5,0,0,0
"em_5171230",NA,1,1,0,52,27,0,0,1
"em_5321810",NA,1,1,0,41,3,0,0,0
"em_4903458",NA,1,1,0,40,14,0,0,0
"em_4927960",NA,1,1,0,35,8,0,0,0
"em_5340693",NA,1,1,0,35,2,0,0,0
"em_5252265",NA,1,1,0,34,10,0,0,0
"em_5070069",NA,1,1,0,34,5,0,0,0
"em_4884617",NA,1,1,0,33,7,0,0,0
"em_5056501",NA,1,1,0,33,1,0,0,0
"em_5282092",NA,1,1,0,30,2,0,0,0
"em_5259130",NA,1,1,0,29,0,0,0,0
"em_4842422",NA,1,1,0,28,19,0,0,2
"em_5180768",NA,1,1,0,28,0,0,0,0
"em_5068089",NA,1,1,0,25,13,0,0,0
"em_4941352",NA,1,1,0,24,16,0,0,0
"em_5347658",NA,1,1,0,22,6,0,0,0
"em_5333453",NA,1,1,0,22,3,0,0,0
"em_5180831",NA,1,1,0,21,2,0,0,0
"em_5137479",NA,1,1,0,21,1,0,0,0
"em_5235150",NA,1,1,0,20,4,0,0,0
"em_5007048",NA,1,1,0,19,11,0,0,0
"em_5325171",NA,1,1,0,19,0,0,0,0
"em_5160122",NA,1,1,0,18,2,0,0,0
"em_4877394",NA,1,1,0,16,2,0,0,0
"em_5241535",NA,1,1,0,15,1,0,0,0
"em_4884606",NA,1,1,0,14,6,0,0,0
"em_5279082",NA,1,1,0,14,4,0,0,0
"em_4959502",NA,1,1,0,13,0,0,0,0
"em_4908255",NA,1,1,0,12,4,0,0,0
"em_5200610",NA,1,1,0,12,0,0,0,0
"em_4894268",NA,1,1,0,12,0,0,0,0
"em_5241549",NA,1,1,0,10,2,0,0,0
"em_5069776",NA,1,1,0,10,1,0,0,0
"em_5151626",NA,1,1,0,9,2,0,0,0
"em_5278921",NA,1,1,0,9,0,0,0,0
"em_4885736",NA,1,1,0,8,5,0,0,1
"em_4884300",NA,1,1,0,8,1,0,0,0
"em_5310556",NA,1,1,0,7,2,0,0,0
"em_5038534",NA,1,1,0,7,1,0,0,0
"em_5235449",NA,1,1,0,6,0,0,0,0
"em_4924739",NA,1,1,0,6,0,0,0,0
"em_5139697",NA,1,1,0,5,5,0,0,1
"em_5117203",NA,1,1,0,5,1,0,0,0
"em_5069765",NA,1,1,0,5,0,0,0,0
"em_5317990",NA,1,1,0,5,0,0,0,0
"em_4974277",NA,1,1,0,5,0,0,0,0
"em_4863336",NA,1,1,0,5,0,0,0,0
"em_5264582",NA,1,1,0,4,2,0,0,0
"em_4894322",NA,1,1,0,4,1,0,0,0
"em_5210569",NA,1,1,0,4,1,0,0,0
"em_5154687",NA,1,1,0,4,0,0,0,0
"em_5011793",NA,1,1,0,3,2,0,0,0
"em_5071644",NA,1,1,0,3,0,0,0,0
"em_5255695",NA,1,1,0,3,0,0,0,0
"em_4843356",NA,1,1,0,3,0,0,0,0
"em_5012013",NA,1,1,0,2,1,0,0,0
"em_4884429",NA,1,1,0,2,1,0,0,0
"em_5289320",NA,1,1,0,2,1,0,0,0
"em_5347666",NA,1,1,0,2,1,0,0,0
"em_5200081",NA,1,1,0,2,0,0,0,0
"em_5344629",NA,1,1,0,2,0,0,0,0
"em_5174844",NA,1,1,0,1,1,0,0,0
"em_5174843",NA,1,1,0,1,1,0,0,0
"em_5344635",NA,1,1,0,1,0,0,0,0
"em_5344631",NA,1,1,0,1,0,0,0,0
"em_5314215",NA,1,0,0,167,47,0,0,4
"em_5060000",NA,1,0,0,115,44,0,0,0
"em_5073006",NA,1,0,0,97,0,0,0,0
"em_5200088",NA,1,0,0,94,50,0,0,0
"em_5272376",NA,1,0,0,78,23,0,0,0
"em_4887455",NA,1,0,0,64,20,0,0,1
"em_5218068",NA,1,0,0,54,1,0,0,0
"em_5108363",NA,1,0,0,36,17,0,0,0
"em_5140317",NA,1,0,0,32,1,0,0,1
"em_5174122",NA,1,0,0,32,1,0,0,0
"em_5117137",NA,1,0,0,29,2,0,0,0
"em_5168198",NA,1,0,0,23,3,0,0,0
"em_5302527",NA,1,0,0,22,1,0,0,0
"em_5262642",NA,1,0,0,18,1,0,0,0
"em_4887609",NA,1,0,0,17,1,0,0,0
"em_5050116",NA,1,0,0,17,0,0,0,0
"em_5302535",NA,1,0,0,16,4,0,0,0
"em_4971257",NA,1,0,0,15,5,0,0,0
"em_5235164",NA,1,0,0,14,4,0,0,0
"em_4917899",NA,1,0,0,14,0,0,0,0
"em_5348017",NA,1,0,0,13,2,0,0,0
"em_5110502",NA,1,0,0,13,1,0,0,0
"em_5110436",NA,1,0,0,12,2,0,0,0
"em_5275520",NA,1,0,0,12,1,0,0,0
"em_5120938",NA,1,0,0,12,1,0,0,0
"em_5117482",NA,1,0,0,11,2,0,0,0
"em_4843350",NA,1,0,0,10,0,0,0,0
"em_4967851",NA,1,0,0,8,1,0,0,0
"em_5133857",NA,1,0,0,8,0,0,0,0
"em_5035288",NA,1,0,0,8,0,0,0,0
"em_4970947",NA,1,0,0,8,0,0,0,0
"em_5299307",NA,1,0,0,8,0,0,0,0
"em_5018449",NA,1,0,0,7,0,0,0,0
"em_5079580",NA,1,0,0,7,0,0,0,0
"em_4955137",NA,1,0,0,6,1,0,0,0
"em_5053321",NA,1,0,0,6,0,0,0,0
"em_5113802",NA,1,0,0,6,0,0,0,0
"em_5154681",NA,1,0,0,5,0,0,0,0
"em_5066606",NA,1,0,0,5,0,0,0,0
"em_5275560",NA,1,0,0,5,0,0,0,0
"em_5238839",NA,1,0,0,4,0,0,0,0
"em_4994714",NA,1,0,0,4,0,0,0,0
"em_5015388",NA,1,0,0,4,0,0,0,0
"em_4884319",NA,1,0,0,3,0,0,0,0
"em_5275561",NA,1,0,0,3,0,0,0,0
"em_5011937",NA,1,0,0,3,0,0,0,0
"em_5289315",NA,1,0,0,2,0,0,0,0
"em_4833385",NA,1,0,0,2,0,0,0,0
"em_5162035",NA,1,0,0,2,0,0,0,0
"em_5171926",NA,1,0,0,2,0,0,0,0
"em_5327766",NA,1,0,0,2,0,0,0,0
"em_5099791",NA,1,0,0,2,0,0,0,0
"em_5200079",NA,1,0,0,2,0,0,0,0
"em_5281888",NA,1,0,0,2,0,0,0,0
"em_5113744",NA,1,0,0,2,0,0,0,0
"em_4833264",NA,1,0,0,1,0,0,0,0
"em_5133846",NA,1,0,0,1,0,0,0,0
"em_5200082",NA,1,0,0,1,0,0,0,0
"em_5011934",NA,1,0,0,1,0,0,0,0
"em_5177811",NA,1,0,0,1,0,0,0,0
"em_5174845",NA,1,0,0,1,0,0,0,0
"em_5140314",NA,1,0,0,1,0,0,0,0
"em_4964691",NA,1,0,0,1,0,0,0,0
"em_4848274",NA,1,0,0,1,0,0,0,0
"em_5214215",NA,1,0,0,1,0,0,0,0
"em_5356040",NA,0,0,198,5,3,198,0,0
"em_5356041",NA,0,0,198,5,2,198,0,0
"em_5356043",NA,0,0,198,4,4,198,0,0
"em_5366914",NA,0,0,152,36,11,152,0,0
"em_5366703",NA,0,0,152,13,7,152,0,0
"em_5366740",NA,0,0,152,11,8,152,0,0
"em_5362883",NA,0,0,55,36,23,59,4,0
"em_5357954",NA,0,0,46,5,4,46,0,0
"em_5371941",NA,0,0,36,4,4,43,7,0
"em_5355510",NA,0,0,35,4,4,35,0,0
"em_5359007",NA,0,0,35,2,2,35,0,0
"em_5358997",NA,0,0,35,0,0,35,0,0
"em_5355511",NA,0,0,35,0,0,35,0,0
"em_5366696",NA,0,0,34,1,1,34,0,0
"em_5366982",NA,0,0,34,1,1,34,0,0
"em_5366802",NA,0,0,34,1,1,34,0,0
"em_5366705",NA,0,0,34,1,1,34,0,0
"em_5359003",NA,0,0,33,1,1,33,0,0
"em_5370504",NA,0,0,29,3,2,29,0,0
"em_5359300",NA,0,0,27,4,3,27,0,0
"em_5355613",NA,0,0,26,6,2,27,1,0
"em_5355614",NA,0,0,26,4,3,27,1,0
"em_5358986",NA,0,0,26,3,2,27,1,0
"em_5362935",NA,0,0,26,2,2,27,1,0
"em_5362881",NA,0,0,26,2,2,27,1,0
"em_5355559",NA,0,0,26,1,1,27,1,0
"em_5366653",NA,0,0,26,1,1,26,0,0
"em_5370533",NA,0,0,26,1,1,26,0,0
"em_5366657",NA,0,0,26,1,1,26,0,0
"em_5355514",NA,0,0,26,0,0,27,1,0
"em_5370534",NA,0,0,26,0,0,26,0,0
"em_5370506",NA,0,0,26,0,0,26,0,0
"em_5370505",NA,0,0,26,0,0,26,0,0
"em_5365959",NA,0,0,24,4,2,24,0,0
"em_5365963",NA,0,0,24,2,2,24,0,0
"em_5367219",NA,0,0,24,2,1,24,0,0
"em_5367417",NA,0,0,24,2,1,24,0,0
"em_5365969",NA,0,0,24,2,1,24,0,0
"em_5365964",NA,0,0,24,1,1,24,0,0
"em_5371148",NA,0,0,24,0,0,24,0,0
"em_5365966",NA,0,0,24,0,0,24,0,0
"em_5359462",NA,0,0,21,5,5,27,6,0
"em_5370381",NA,0,0,18,224,11,18,0,0
"em_5369796",NA,0,0,12,150,9,12,0,0
"em_5368855",NA,0,0,8,4,2,8,0,0
"em_5362872",NA,0,0,8,4,2,8,0,0
"em_5362940",NA,0,0,8,4,2,8,0,0
"em_5362925",NA,0,0,8,3,2,8,0,0
"em_5362879",NA,0,0,8,2,2,8,0,0
"em_5362873",NA,0,0,8,1,1,8,0,0
"em_5362876",NA,0,0,8,1,1,8,0,0
"em_5362877",NA,0,0,8,1,1,8,0,0
"em_5362874",NA,0,0,8,1,1,8,0,0
"em_5355309",NA,0,0,1,28,1,1,0,0
"em_5355302",NA,0,0,1,28,1,1,0,0
"em_5355755",NA,0,0,1,27,1,1,0,0
"em_5355303",NA,0,0,1,26,1,1,0,0
"em_5355507",NA,0,0,1,25,1,1,0,0
"em_5369799",NA,0,0,1,24,1,1,0,0
"em_5355556",NA,0,0,1,24,1,1,0,0
"em_5355245",NA,0,0,1,24,1,1,0,0
"em_5370337",NA,0,0,1,24,1,1,0,0
"em_5357897",NA,0,0,1,23,1,1,0,0
"em_5355307",NA,0,0,1,23,1,1,0,0
"em_5355503",NA,0,0,1,22,1,1,0,0
"em_5366407",NA,0,0,1,22,1,1,0,0
"em_5369608",NA,0,0,1,3,1,1,0,0
"em_5366860",NA,0,0,1,1,1,1,0,0
"em_5366369",NA,0,0,1,1,1,1,0,0
"em_5358639",NA,0,0,1,0,0,1,0,0
"em_5370217",NA,0,0,1,0,0,1,0,0
"em_5044315",NA,0,0,0,181,79,0,0,3
"em_5125919",NA,0,0,0,171,72,0,0,1
"em_5036873",NA,0,0,0,130,58,0,0,0
"em_5059724",NA,0,0,0,126,75,0,0,2
"em_5020581",NA,0,0,0,121,40,0,0,1
"em_5086715",NA,0,0,0,107,18,0,0,0
"em_4859125",NA,0,0,0,78,30,0,0,1
"em_5038559",NA,0,0,0,73,28,0,0,2
"em_5040003",NA,0,0,0,56,11,0,0,0
"em_4837440",NA,0,0,0,51,26,0,0,1
"em_5074928",NA,0,0,0,51,19,0,0,0
"em_4941341",NA,0,0,0,51,17,0,0,0
"em_5231605",NA,0,0,0,49,9,0,0,0
"em_5333432",NA,0,0,0,48,16,0,0,0
"em_4851253",NA,0,0,0,46,25,0,0,2
"em_4855526",NA,0,0,0,45,16,0,0,0
"em_5310548",NA,0,0,0,42,18,0,0,1
"em_5149581",NA,0,0,0,41,19,0,0,0
"em_4941326",NA,0,0,0,40,13,0,0,0
"em_5289316",NA,0,0,0,39,13,0,0,0
"em_4916435",NA,0,0,0,38,22,0,0,1
"em_4851247",NA,0,0,0,35,20,0,0,0
"em_4836117",NA,0,0,0,35,17,0,0,0
"em_5090599",NA,0,0,0,32,0,0,0,0
"em_4903460",NA,0,0,0,30,9,0,0,0
"em_5275572",NA,0,0,0,29,8,0,0,0
"em_5110504",NA,0,0,0,29,6,0,0,0
"em_4842385",NA,0,0,0,28,19,0,0,0
"em_4887827",NA,0,0,0,27,1,0,0,0
"em_4994663",NA,0,0,0,26,1,0,0,0
"em_5072081",NA,0,0,0,25,10,0,0,1
"em_4992145",NA,0,0,0,25,6,0,0,0
"em_4984564",NA,0,0,0,25,0,0,0,0
"em_5015325",NA,0,0,0,25,0,0,0,0
"em_5248651",NA,0,0,0,24,12,0,0,1
"em_5292716",NA,0,0,0,24,1,0,0,0
"em_4884618",NA,0,0,0,23,11,0,0,0
"em_5220772",NA,0,0,0,23,0,0,0,0
"em_5094049",NA,0,0,0,22,17,0,0,0
"em_5249319",NA,0,0,0,22,6,0,0,0
"em_5137470",NA,0,0,0,22,1,0,0,0
"em_5171473",NA,0,0,0,21,5,0,0,0
"em_5027111",NA,0,0,0,20,10,0,0,0
"em_4836118",NA,0,0,0,20,9,0,0,0
"em_5272344",NA,0,0,0,20,7,0,0,0
"em_5310547",NA,0,0,0,20,4,0,0,0
"em_5096352",NA,0,0,0,19,0,0,0,0
"em_4878827",NA,0,0,0,18,9,0,0,1
"em_5231586",NA,0,0,0,17,4,0,0,0
"em_5158265",NA,0,0,0,16,4,0,0,0
"em_4927950",NA,0,0,0,16,0,0,0,0
"em_5262334",NA,0,0,0,16,0,0,0,0
"em_5151624",NA,0,0,0,15,7,0,0,0
"em_4986269",NA,0,0,0,15,7,0,0,0
"em_4884604",NA,0,0,0,15,7,0,0,0
"em_5088118",NA,0,0,0,15,6,0,0,0
"em_4884623",NA,0,0,0,15,4,0,0,0
"em_4917900",NA,0,0,0,15,1,0,0,0
"em_5129261",NA,0,0,0,15,0,0,0,0
"em_5147516",NA,0,0,0,14,7,0,0,0
"em_5317996",NA,0,0,0,14,3,0,0,0
"em_5168204",NA,0,0,0,14,2,0,0,0
"em_4830003",NA,0,0,0,14,0,0,0,0
"em_4897360",NA,0,0,0,14,0,0,0,0
"em_4965996",NA,0,0,0,13,7,0,0,0
"em_4884622",NA,0,0,0,13,3,0,0,0
"em_5161392",NA,0,0,0,13,1,0,0,0
"em_5275849",NA,0,0,0,13,1,0,0,0
"em_5088119",NA,0,0,0,12,6,0,0,0
"em_4927932",NA,0,0,0,12,2,0,0,0
"em_4954970",NA,0,0,0,12,1,0,0,0
"em_5282493",NA,0,0,0,12,0,0,0,0
"em_4866830",NA,0,0,0,12,0,0,0,0
"em_4833220",NA,0,0,0,11,6,0,0,0
"em_5317991",NA,0,0,0,11,5,0,0,0
"em_5079597",NA,0,0,0,11,3,0,0,0
"em_5055985",NA,0,0,0,11,2,0,0,0
"em_5190806",NA,0,0,0,11,2,0,0,0
"em_5089799",NA,0,0,0,11,2,0,0,0
"em_5046853",NA,0,0,0,11,1,0,0,0
"em_5086674",NA,0,0,0,11,0,0,0,0
"em_5018331",NA,0,0,0,11,0,0,0,0
"em_4977608",NA,0,0,0,10,3,0,0,0
"em_4855584",NA,0,0,0,10,3,0,0,0
"em_4934733",NA,0,0,0,10,2,0,0,0
"em_5140980",NA,0,0,0,10,2,0,0,0
"em_4897666",NA,0,0,0,10,1,0,0,0
"em_4856218",NA,0,0,0,10,1,0,0,0
"em_5214223",NA,0,0,0,10,0,0,0,0
"em_5037443",NA,0,0,0,10,0,0,0,0
"em_5174128",NA,0,0,0,10,0,0,0,0
"em_4939712",NA,0,0,0,9,6,0,0,0
"em_5174846",NA,0,0,0,9,5,0,0,0
"em_5015141",NA,0,0,0,9,5,0,0,0
"em_4939711",NA,0,0,0,9,4,0,0,0
"em_5105181",NA,0,0,0,9,4,0,0,0
"em_4926059",NA,0,0,0,9,3,0,0,0
"em_4944901",NA,0,0,0,9,1,0,0,0
"em_4937802",NA,0,0,0,9,1,0,0,0
"em_5038545",NA,0,0,0,9,0,0,0,0
"em_5220763",NA,0,0,0,9,0,0,0,0
"em_4877397",NA,0,0,0,9,0,0,0,0
"em_5003229",NA,0,0,0,8,5,0,0,0
"em_4983109",NA,0,0,0,8,4,0,0,0
"em_5130559",NA,0,0,0,8,3,0,0,0
"em_5070062",NA,0,0,0,8,2,0,0,0
"em_5099792",NA,0,0,0,8,2,0,0,0
"em_4836875",NA,0,0,0,8,1,0,0,0
"em_4852146",NA,0,0,0,8,1,0,0,0
"em_4955204",NA,0,0,0,8,1,0,0,0
"em_5140978",NA,0,0,0,8,0,0,0,0
"em_4914669",NA,0,0,0,8,0,0,0,0
"em_5252258",NA,0,0,0,7,3,0,0,0
"em_4967787",NA,0,0,0,7,2,0,0,0
"em_5194149",NA,0,0,0,7,2,0,0,0
"em_5174129",NA,0,0,0,7,1,0,0,0
"em_4846355",NA,0,0,0,7,1,0,0,0
"em_4957975",NA,0,0,0,7,0,0,0,0
"em_5076276",NA,0,0,0,7,0,0,0,0
"em_4906276",NA,0,0,0,6,5,0,0,0
"em_4861400",NA,0,0,0,6,4,0,0,0
"em_4967800",NA,0,0,0,6,2,0,0,0
"em_5053326",NA,0,0,0,6,1,0,0,0
"em_4934516",NA,0,0,0,6,1,0,0,0
"em_5086683",NA,0,0,0,6,1,0,0,0
"em_5177766",NA,0,0,0,6,1,0,0,0
"em_4908207",NA,0,0,0,6,1,0,0,0
"em_5028835",NA,0,0,0,6,0,0,0,0
"em_5158260",NA,0,0,0,6,0,0,0,0
"em_5214229",NA,0,0,0,6,0,0,0,0
"em_5008741",NA,0,0,0,6,0,0,0,0
"em_5325137",NA,0,0,0,6,0,0,0,0
"em_5008678",NA,0,0,0,6,0,0,0,0
"em_4948303",NA,0,0,0,6,0,0,0,0
"em_5264581",NA,0,0,0,6,0,0,0,0
"em_4954973",NA,0,0,0,6,0,0,0,0
"em_5090608",NA,0,0,0,5,3,0,0,0
"em_5078178",NA,0,0,0,5,3,0,0,0
"em_4984736",NA,0,0,0,5,1,0,0,0
"em_4948318",NA,0,0,0,5,1,0,0,0
"em_4977616",NA,0,0,0,5,1,0,0,0
"em_5200620",NA,0,0,0,5,1,0,0,0
"em_4887597",NA,0,0,0,5,1,0,0,0
"em_4977596",NA,0,0,0,5,1,0,0,0
"em_5241537",NA,0,0,0,5,1,0,0,0
"em_5117196",NA,0,0,0,5,0,0,0,0
"em_4987995",NA,0,0,0,5,0,0,0,0
"em_5238584",NA,0,0,0,5,0,0,0,0
"em_4870383",NA,0,0,0,5,0,0,0,0
"em_5025617",NA,0,0,0,5,0,0,0,0
"em_5158263",NA,0,0,0,5,0,0,0,0
"em_5096415",NA,0,0,0,5,0,0,0,0
"em_4998179",NA,0,0,0,5,0,0,0,0
"em_5008754",NA,0,0,0,5,0,0,0,0
"em_4930545",NA,0,0,0,5,0,0,0,0
"em_5171407",NA,0,0,0,5,0,0,0,0
"em_5032234",NA,0,0,0,5,0,0,0,0
"em_5259138",NA,0,0,0,5,0,0,0,0
"em_5086065",NA,0,0,0,4,2,0,0,0
"em_4861401",NA,0,0,0,4,2,0,0,0
"em_5024010",NA,0,0,0,4,2,0,0,0
"em_5333424",NA,0,0,0,4,2,0,0,0
"em_4991289",NA,0,0,0,4,1,0,0,0
"em_5200089",NA,0,0,0,4,1,0,0,0
"em_5113810",NA,0,0,0,4,1,0,0,0
"em_5321869",NA,0,0,0,4,1,0,0,0
"em_4937841",NA,0,0,0,4,1,0,0,0
"em_4849758",NA,0,0,0,4,1,0,0,0
"em_4998185",NA,0,0,0,4,1,0,0,0
"em_4887536",NA,0,0,0,4,1,0,0,0
"em_5032329",NA,0,0,0,4,1,0,0,0
"em_4944914",NA,0,0,0,4,0,0,0,0
"em_5072998",NA,0,0,0,4,0,0,0,0
"em_5237518",NA,0,0,0,4,0,0,0,0
"em_5327909",NA,0,0,0,4,0,0,0,0
"em_4856217",NA,0,0,0,4,0,0,0,0
"em_5059670",NA,0,0,0,4,0,0,0,0
"em_5189974",NA,0,0,0,4,0,0,0,0
"em_4886188",NA,0,0,0,4,0,0,0,0
"em_5096535",NA,0,0,0,4,0,0,0,0
"em_4996651",NA,0,0,0,4,0,0,0,0
"em_5079586",NA,0,0,0,4,0,0,0,0
"em_5093134",NA,0,0,0,4,0,0,0,0
"em_5096429",NA,0,0,0,4,0,0,0,0
"em_5348102",NA,0,0,0,3,3,0,0,0
"em_4877407",NA,0,0,0,3,3,0,0,0
"em_4924151",NA,0,0,0,3,2,0,0,0
"em_5154703",NA,0,0,0,3,2,0,0,0
"em_5089742",NA,0,0,0,3,2,0,0,0
"em_4873925",NA,0,0,0,3,2,0,0,0
"em_4846309",NA,0,0,0,3,2,0,0,0
"em_5086066",NA,0,0,0,3,2,0,0,0
"em_5167937",NA,0,0,0,3,1,0,0,0
"em_4948253",NA,0,0,0,3,1,0,0,0
"em_4824424",NA,0,0,0,3,1,0,0,0
"em_5194160",NA,0,0,0,3,1,0,0,0
"em_5275522",NA,0,0,0,3,1,0,0,0
"em_4856224",NA,0,0,0,3,1,0,0,0
"em_4873870",NA,0,0,0,3,1,0,0,0
"em_5066540",NA,0,0,0,3,1,0,0,0
"em_5337625",NA,0,0,0,3,1,0,0,0
"em_5053343",NA,0,0,0,3,1,0,0,0
"em_4951677",NA,0,0,0,3,0,0,0,0
"em_4934573",NA,0,0,0,3,0,0,0,0
"em_5210521",NA,0,0,0,3,0,0,0,0
"em_5187653",NA,0,0,0,3,0,0,0,0
"em_5056494",NA,0,0,0,3,0,0,0,0
"em_4927961",NA,0,0,0,3,0,0,0,0
"em_4988004",NA,0,0,0,3,0,0,0,0
"em_5348278",NA,0,0,0,3,0,0,0,0
"em_5133848",NA,0,0,0,3,0,0,0,0
"em_4914724",NA,0,0,0,3,0,0,0,0
"em_5059699",NA,0,0,0,3,0,0,0,0
"em_5174189",NA,0,0,0,3,0,0,0,0
"em_5113818",NA,0,0,0,3,0,0,0,0
"em_5079594",NA,0,0,0,3,0,0,0,0
"em_5140981",NA,0,0,0,3,0,0,0,0
"em_5093081",NA,0,0,0,3,0,0,0,0
"em_4897350",NA,0,0,0,3,0,0,0,0
"em_5347718",NA,0,0,0,3,0,0,0,0
"em_4994718",NA,0,0,0,3,0,0,0,0
"em_4958027",NA,0,0,0,3,0,0,0,0
"em_4970785",NA,0,0,0,3,0,0,0,0
"em_4897715",NA,0,0,0,3,0,0,0,0
"em_5018495",NA,0,0,0,3,0,0,0,0
"em_5255874",NA,0,0,0,3,0,0,0,0
"em_4877406",NA,0,0,0,3,0,0,0,0
"em_5015383",NA,0,0,0,3,0,0,0,0
"em_4882642",NA,0,0,0,3,0,0,0,0
"em_5344019",NA,0,0,0,2,2,0,0,0
"em_5168383",NA,0,0,0,2,1,0,0,0
"em_5235453",NA,0,0,0,2,1,0,0,0
"em_4894006",NA,0,0,0,2,1,0,0,0
"em_4833640",NA,0,0,0,2,1,0,0,0
"em_4856222",NA,0,0,0,2,1,0,0,0
"em_4852137",NA,0,0,0,2,1,0,0,0
"em_5317995",NA,0,0,0,2,1,0,0,0
"em_5151612",NA,0,0,0,2,1,0,0,0
"em_5248777",NA,0,0,0,2,1,0,0,0
"em_4934732",NA,0,0,0,2,1,0,0,0
"em_4964984",NA,0,0,0,2,1,0,0,0
"em_5241658",NA,0,0,0,2,1,0,0,0
"em_5014687",NA,0,0,0,2,1,0,0,0
"em_4908256",NA,0,0,0,2,1,0,0,0
"em_5269305",NA,0,0,0,2,1,0,0,0
"em_5167936",NA,0,0,0,2,1,0,0,0
"em_5133849",NA,0,0,0,2,0,0,0,0
"em_5140990",NA,0,0,0,2,0,0,0,0
"em_4946855",NA,0,0,0,2,0,0,0,0
"em_5117202",NA,0,0,0,2,0,0,0,0
"em_5076277",NA,0,0,0,2,0,0,0,0
"em_4894276",NA,0,0,0,2,0,0,0,0
"em_5113797",NA,0,0,0,2,0,0,0,0
"em_5228212",NA,0,0,0,2,0,0,0,0
"em_5059750",NA,0,0,0,2,0,0,0,0
"em_5028819",NA,0,0,0,2,0,0,0,0
"em_5234098",NA,0,0,0,2,0,0,0,0
"em_4890920",NA,0,0,0,2,0,0,0,0
"em_5296252",NA,0,0,0,2,0,0,0,0
"em_4984779",NA,0,0,0,2,0,0,0,0
"em_5154685",NA,0,0,0,2,0,0,0,0
"em_5059752",NA,0,0,0,2,0,0,0,0
"em_4897452",NA,0,0,0,2,0,0,0,0
"em_5213400",NA,0,0,0,2,0,0,0,0
"em_4979250",NA,0,0,0,2,0,0,0,0
"em_5053341",NA,0,0,0,2,0,0,0,0
"em_5032212",NA,0,0,0,2,0,0,0,0
"em_4991353",NA,0,0,0,2,0,0,0,0
"em_5214311",NA,0,0,0,2,0,0,0,0
"em_4873919",NA,0,0,0,2,0,0,0,0
"em_4958024",NA,0,0,0,2,0,0,0,0
"em_5093053",NA,0,0,0,2,0,0,0,0
"em_5137481",NA,0,0,0,2,0,0,0,0
"em_4852945",NA,0,0,0,2,0,0,0,0
"em_5035354",NA,0,0,0,2,0,0,0,0
"em_4937840",NA,0,0,0,2,0,0,0,0
"em_4991361",NA,0,0,0,2,0,0,0,0
"em_4987975",NA,0,0,0,2,0,0,0,0
"em_5059705",NA,0,0,0,2,0,0,0,0
"em_4904883",NA,0,0,0,2,0,0,0,0
"em_5289310",NA,0,0,0,2,0,0,0,0
"em_4911551",NA,0,0,0,2,0,0,0,0
"em_5005494",NA,0,0,0,2,0,0,0,0
"em_4836876",NA,0,0,0,2,0,0,0,0
"em_5174185",NA,0,0,0,2,0,0,0,0
"em_5180770",NA,0,0,0,2,0,0,0,0
"em_5011928",NA,0,0,0,2,0,0,0,0
"em_5093171",NA,0,0,0,2,0,0,0,0
"em_4955122",NA,0,0,0,2,0,0,0,0
"em_5038651",NA,0,0,0,1,1,0,0,0
"em_4870443",NA,0,0,0,1,1,0,0,0
"em_4964197",NA,0,0,0,1,1,0,0,0
"em_4833438",NA,0,0,0,1,1,0,0,0
"em_4893667",NA,0,0,0,1,1,0,0,0
"em_5255706",NA,0,0,0,1,1,0,0,0
"em_4977620",NA,0,0,0,1,1,0,0,0
"em_5197158",NA,0,0,0,1,1,0,0,0
"em_4894320",NA,0,0,0,1,1,0,0,0
"em_4903096",NA,0,0,0,1,1,0,0,0
"em_4990712",NA,0,0,0,1,1,0,0,0
"em_4863345",NA,0,0,0,1,1,0,0,0
"em_4991504",NA,0,0,0,1,1,0,0,0
"em_4856363",NA,0,0,0,1,1,0,0,0
"em_5194150",NA,0,0,0,1,1,0,0,0
"em_4913094",NA,0,0,0,1,1,0,0,0
"em_5269250",NA,0,0,0,1,1,0,0,0
"em_4964852",NA,0,0,0,1,1,0,0,0
"em_5120931",NA,0,0,0,1,1,0,0,0
"em_5262369",NA,0,0,0,1,1,0,0,0
"em_5347717",NA,0,0,0,1,1,0,0,0
"em_4998184",NA,0,0,0,1,0,0,0,0
"em_4870403",NA,0,0,0,1,0,0,0,0
"em_5076270",NA,0,0,0,1,0,0,0,0
"em_4849770",NA,0,0,0,1,0,0,0,0
"em_4863360",NA,0,0,0,1,0,0,0,0
"em_5293242",NA,0,0,0,1,0,0,0,0
"em_5037999",NA,0,0,0,1,0,0,0,0
"em_4897714",NA,0,0,0,1,0,0,0,0
"em_5292717",NA,0,0,0,1,0,0,0,0
"em_4934789",NA,0,0,0,1,0,0,0,0
