"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5370480",NA,52,7,38,20,8,38,0,0
"em_5355815",NA,52,3,20,4,4,21,1,0
"em_5355554",NA,51,32,846,477,315,882,36,2
"em_5255753",NA,51,7,0,137,10,0,0,0
"em_5292719",NA,49,21,0,254,34,0,0,0
"em_5171681",NA,49,16,-1,402,43,0,1,0
"em_5228038",NA,48,15,0,268,28,0,0,0
"em_5340699",NA,46,13,0,129,15,0,0,0
"em_5355651",NA,46,3,46,6,6,46,0,0
"em_5355550",NA,45,36,2784,762,619,2991,207,2
"em_5355816",NA,44,3,20,14,5,21,1,0
"em_5314163",NA,43,11,0,292,34,0,0,0
"em_5303095",NA,42,25,0,1126,642,0,0,21
"em_5278997",NA,42,11,0,136,14,0,0,0
"em_5262279",NA,42,10,0,212,14,0,0,0
"em_5333434",NA,41,25,0,699,219,0,0,1
"em_5241539",NA,41,12,0,240,23,0,0,0
"em_5220775",NA,41,7,0,113,9,0,0,0
"em_5355820",NA,41,3,20,9,4,21,1,0
"em_5336568",NA,40,17,0,238,79,0,0,2
"em_5355908",NA,40,1,1,12,1,1,0,0
"em_5282105",NA,39,15,0,267,30,0,0,0
"em_5325172",NA,39,13,0,198,6,0,0,0
"em_5344247",NA,38,21,0,403,92,0,0,1
"em_5344215",NA,38,17,0,186,37,0,0,1
"em_5370776",NA,38,3,24,10,4,24,0,0
"em_5357891",NA,38,2,18,234,16,18,0,0
"em_5299293",NA,38,1,0,126,4,0,0,0
"em_5180819",NA,36,12,0,171,19,0,0,0
"em_5367216",NA,36,3,24,4,3,24,0,0
"em_5355913",NA,36,1,1,8,1,1,0,0
"em_5366702",NA,35,18,113,138,61,117,4,0
"em_5314223",NA,35,6,0,205,26,0,0,0
"em_5278919",NA,35,6,0,91,15,0,0,0
"em_5235059",NA,35,5,0,167,4,0,0,0
"em_5355924",NA,35,1,1,10,1,1,0,0
"em_5032220",NA,35,1,0,58,1,0,0,0
"em_5238565",NA,34,9,0,110,14,0,0,0
"em_5355920",NA,34,1,1,5,1,1,0,0
"em_5333435",NA,33,15,0,355,105,0,0,1
"em_5299443",NA,33,13,0,175,15,0,0,1
